,Canada,USA,Peru,Colombia,France,Austria,Germany,Switzerland,Belgium,Portugal,Spain,Italy,UnitedKingdom,Slovenia,Slovakia
Canada,0.0,988.9841343648834,1313.45370360909,1481.0010822489362,6285.524618496125,7422.313694987603,7178.573975828577,7025.676894881671,6799.512065246138,5933.415007739037,6229.6971024006525,7280.796372616091,6311.813211011076,7475.722696832476,7784.655302173764
USA,988.9841343648834,0.0,2249.18857879933,2445.1217797795125,7270.775125687374,8396.042920813496,8138.2822418211645,8001.7876803713525,7761.510175513058,6921.577222966884,7217.45751260039,8266.423232410289,7258.961590344683,8454.113536603314,8754.48641441575
Peru,1313.45370360909,2249.18857879933,0.0,258.02885686985303,5142.664158796589,6313.359871416946,6121.480059018344,5916.502441044115,5746.197479964691,4767.358642366028,5064.896792654886,6119.397926880796,5319.023170331564,6347.623128552334,6679.998476051379
Colombia,1481.0010822489362,2445.1217797795125,258.02885686985303,0.0,4906.150550016046,6074.20709437295,5875.890260958692,5676.55400712846,5499.511860047647,4534.201728116752,4832.098145355399,5888.062966740678,5066.741426055225,6111.258097511233,6441.076866611579
France,6285.524618496125,7270.775125687374,5142.664158796589,4906.150550016046,0.0,1173.692085479682,1043.6756620266892,783.0660340503155,733.9975128626289,390.6734808351459,148.14135724501384,995.6570287610272,758.3122825158441,1205.1588171354927,1538.9264828233834
Austria,7422.313694987603,8396.042920813496,6313.359871416946,6074.20709437295,1173.692085479682,0.0,339.16017424933966,398.53355611487206,659.982036708344,1558.1486587688178,1266.3651117444388,339.12244130863326,1196.1680998017216,111.30896258370377,366.8944590241355
Germany,7178.573975828577,8138.2822418211645,6121.480059018344,5875.890260958692,1043.6756620266892,339.16017424933966,0.0,318.44051704424265,379.66560964669327,1433.361872089479,1164.6828957315952,558.6634884166068,890.2543426927584,447.0880160522969,630.2192863564222
Switzerland,7025.676894881671,8001.7876803713525,5916.502441044115,5676.55400712846,783.0660340503155,398.53355611487206,318.44051704424265,0.0,345.9138190536662,1171.7956366446333,886.9203875865171,374.9451579199266,866.4351453027781,454.1356746527366,765.1392204044421
Belgium,6799.512065246138,7761.510175513058,5746.197479964691,5499.511860047647,733.9975128626289,659.982036708344,379.66560964669327,345.9138190536662,0.0,1110.1598867610046,872.3407711659364,720.5749471731851,538.0714553971387,747.3753131793434,997.25764526769
Portugal,5933.415007739037,6921.577222966884,4767.358642366028,4534.201728116752,390.6734808351459,1558.1486587688178,1433.361872089479,1171.7956366446333,1110.1598867610046,0.0,297.9816081692457,1354.448783957474,1003.1385083883961,1582.7820604414999,1921.1516515669236
Spain,6229.6971024006525,7217.45751260039,5064.896792654886,4832.098145355399,148.14135724501384,1266.3651117444388,1164.6828957315952,886.9203875865171,872.3407711659364,297.9816081692457,0.0,1056.4754547870134,899.2457059889534,1287.1451348258186,1627.2305651285255
Italy,7280.796372616091,8266.423232410289,6119.397926880796,5888.062966740678,995.6570287610272,339.12244130863326,558.6634884166068,374.9451579199266,720.5749471731851,1354.448783957474,1056.4754547870134,0.0,1236.4053166775784,285.7604441015921,619.2263355674521
UnitedKingdom,6311.813211011076,7258.961590344683,5319.023170331564,5066.741426055225,758.3122825158441,1196.1680998017216,890.2543426927584,866.4351453027781,538.0714553971387,1003.1385083883961,899.2457059889534,1236.4053166775784,0.0,1285.4176216793105,1520.2841442404651
Slovenia,7475.722696832476,8454.113536603314,6347.623128552334,6111.258097511233,1205.1588171354927,111.30896258370377,447.0880160522969,454.1356746527366,747.3753131793434,1582.7820604414999,1287.1451348258186,285.7604441015921,1285.4176216793105,0.0,344.7563394384933
Slovakia,7784.655302173764,8754.48641441575,6679.998476051379,6441.076866611579,1538.9264828233834,366.8944590241355,630.2192863564222,765.1392204044421,997.25764526769,1921.1516515669236,1627.2305651285255,619.2263355674521,1520.2841442404651,344.7563394384933,0.0
