,index,place,year-month,import_risk
0,North America.2022-04,North America,2022-04-01,0.0
1,Southern Europe.2022-04,Southern Europe,2022-04-01,0.0
2,Western Europe.2022-04,Western Europe,2022-04-01,0.0
3,Central Europe.2022-04,Central Europe,2022-04-01,0.0
4,South America.2022-04,South America,2022-04-01,0.0
5,North America.2022-05,North America,2022-05-01,0.08157338602948179
6,Southern Europe.2022-05,Southern Europe,2022-05-01,0.24945490462950873
7,Western Europe.2022-05,Western Europe,2022-05-01,0.41554398646033497
8,Central Europe.2022-05,Central Europe,2022-05-01,0.0023538372610389597
9,South America.2022-05,South America,2022-05-01,0.005386597204062746
10,North America.2022-06,North America,2022-06-01,0.6891193096072652
11,Southern Europe.2022-06,Southern Europe,2022-06-01,1.773727472993239
12,Western Europe.2022-06,Western Europe,2022-06-01,3.226133588326355
13,Central Europe.2022-06,Central Europe,2022-06-01,0.017731324330101536
14,South America.2022-06,South America,2022-06-01,0.051758639280443025
15,North America.2022-07,North America,2022-07-01,2.6701926657121198
16,Southern Europe.2022-07,Southern Europe,2022-07-01,5.432429584858898
17,Western Europe.2022-07,Western Europe,2022-07-01,9.791414317465344
18,Central Europe.2022-07,Central Europe,2022-07-01,0.06005274513294079
19,South America.2022-07,South America,2022-07-01,0.19686883232032132
20,North America.2022-08,North America,2022-08-01,2.3924654519764452
21,Southern Europe.2022-08,Southern Europe,2022-08-01,5.5579624998482355
22,Western Europe.2022-08,Western Europe,2022-08-01,10.179204234160334
23,Central Europe.2022-08,Central Europe,2022-08-01,0.054870068241071795
24,South America.2022-08,South America,2022-08-01,0.3035207677162912
25,North America.2022-09,North America,2022-09-01,1.049869297108686
26,Southern Europe.2022-09,Southern Europe,2022-09-01,2.2755815064731437
27,Western Europe.2022-09,Western Europe,2022-09-01,4.199510826279802
28,Central Europe.2022-09,Central Europe,2022-09-01,0.018727381071537555
29,South America.2022-09,South America,2022-09-01,0.1760573408662057
30,North America.2022-10,North America,2022-10-01,0.5693024050248434
31,Southern Europe.2022-10,Southern Europe,2022-10-01,0.7185820178549536
32,Western Europe.2022-10,Western Europe,2022-10-01,1.41063129612537
33,Central Europe.2022-10,Central Europe,2022-10-01,0.0048298129766593855
34,South America.2022-10,South America,2022-10-01,0.07163861215909978
35,North America.2022-11,North America,2022-11-01,0.20739359483271275
36,Southern Europe.2022-11,Southern Europe,2022-11-01,0.18126032827881133
37,Western Europe.2022-11,Western Europe,2022-11-01,0.5279323704861174
38,Central Europe.2022-11,Central Europe,2022-11-01,0.0014937493920879322
39,South America.2022-11,South America,2022-11-01,0.029716890573098793
40,North America.2022-12,North America,2022-12-01,0.12208507685021172
41,Southern Europe.2022-12,Southern Europe,2022-12-01,0.09390927551674245
42,Western Europe.2022-12,Western Europe,2022-12-01,0.5237006305513223
43,Central Europe.2022-12,Central Europe,2022-12-01,0.001211752600043559
44,South America.2022-12,South America,2022-12-01,0.026333819126175308
